EMP_ID,NUM_LOGIN,NUM_CONTENTS,NUM_ACTION,TIME_LOGIN,TIME_TEST,NUM_REVISION,SCORE
S0143,4,11,38,149,2.72,8,7.08
S0144,5,10,39,81,1.95,6,7.98
S0145,4,11,38,119,2.1,6,6.31
S0146,4,11,37,126,2.76,7,7.98
S0147,3,11,45,52,1.53,5,4.15
S0148,6,11,79,96,2.28,12,6.0
S0149,3,10,30,30,2.24,3,6.09
S0150,6,11,80,297,1.3,13,9.53
S0151,10,11,130,151,1.9,22,5.9
S0152,1,9,19,18,1.58,2,5.38
S0153,4,11,45,60,2.0,8,4.08
S0154,6,11,70,150,1.84,0,9.65
S0155,3,11,58,130,1.0,7,9.03
S0156,6,11,104,236,1.39,0,7.98
S0157,9,11,108,205,1.35,7,7.62
S0158,5,11,97,188,1.31,7,9.37
S0159,8,11,112,162,1.93,20,5.58
S0160,2,11,51,96,1.56,7,7.42
S0161,3,11,33,94,2.14,5,6.38
S0162,5,11,66,122,1.81,1,8.55
S0163,8,11,90,282,1.92,21,8.63
S0164,10,11,82,156,2.45,13,7.43
S0165,5,9,41,134,2.06,7,6.49
S0166,3,10,55,251,1.61,8,9.02
S0167,3,11,48,74,1.85,4,7.84
S0168,2,11,53,67,1.98,10,5.33
S0169,3,11,56,63,1.83,10,5.29
S0170,7,11,104,108,1.79,17,5.99
S0171,2,9,14,37,2.16,33,3.3
S0172,4,7,18,79,2.08,1,3.84
S0173,9,11,72,75,2.26,10,5.38
S0174,3,11,68,171,1.78,13,7.14
S0175,3,10,31,21,2.45,8,5.23
S0176,4,8,19,29,1.0,11,4.39
S0177,4,11,66,126,1.76,13,6.2
S0178,3,8,22,81,2.16,1,6.63
S0179,3,10,20,87,1.22,1,5.5
S0180,4,11,44,33,1.49,0,4.31
S0181,4,10,43,42,2.0,6,3.77
S0182,5,11,36,35,2.0,4,4.13
S0183,6,11,120,154,1.82,18,6.35
S0184,1,8,14,17,2.0,2,6.09
S0185,2,8,15,21,2.0,2,5.55
S0186,11,11,134,112,2.15,1,6.92
S0187,12,11,121,222,1.85,18,9.02
S0188,2,7,18,123,1.63,3,7.21
S0189,2,10,22,20,1.87,4,3.25
S0190,15,11,169,227,1.96,2,9.51
S0191,1,11,55,60,1.91,10,6.39
S0192,2,10,41,145,2.24,8,7.55
S0193,10,11,80,99,1.88,13,5.25
S0194,10,11,85,151,1.73,13,9.56
S0195,4,11,49,75,2.22,0,5.21
S0196,9,11,83,112,2.13,18,6.53
S0197,9,11,74,175,2.14,15,6.49
S0198,6,11,75,90,1.91,14,6.31
S0199,2,11,56,51,1.84,7,6.08
S0200,2,11,28,26,1.0,16,2.9
S0201,8,11,87,221,2.24,9,7.97
S0202,3,8,17,42,1.58,2,2.17
S0203,5,11,61,243,2.36,8,6.19
S0204,20,11,157,680,1.81,2,8.39
S0205,2,6,17,19,1.73,0,2.17
S0206,5,11,80,187,1.75,19,6.95
S0207,42,11,330,907,1.84,0,8.26
S0208,19,11,171,467,1.77,2,7.74
S0209,14,11,145,353,2.31,0,7.61
S0210,10,11,106,210,2.0,21,7.11
S0211,7,11,111,117,1.66,38,5.16
S0212,2,5,9,10,1.22,0,3.25
S0213,14,11,114,475,2.07,2,8.69
S0214,7,11,58,95,1.51,9,4.21
S0215,12,11,142,228,2.18,2,8.11
S0216,10,10,99,237,2.16,1,7.5
S0217,20,11,163,313,2.23,26,7.17
S0218,5,11,111,150,1.76,21,6.46
S0219,4,11,71,130,1.69,10,7.27
S0220,7,11,112,214,2.22,3,6.85
S0221,3,11,84,46,1.57,19,4.51
S0222,4,6,30,93,0.95,2,3.25
S0223,12,11,308,109,1.9,27,5.3
S0224,5,11,101,57,2.02,20,6.56
S0225,1,1,9,16,1.22,0,4.33
S0226,10,11,97,94,2.47,10,5.63
S0227,11,11,89,187,2.36,17,6.83
S0228,6,11,121,201,1.36,29,5.55
S0229,13,11,156,286,1.93,22,6.94
S0230,8,11,90,138,2.2,7,7.72
S0231,11,11,138,425,1.96,2,8.38
S0232,5,11,73,112,2.47,4,7.68
S0233,6,11,89,72,1.62,17,5.36
S0234,1,8,9,113,1.41,0,6.63
S0235,5,8,32,150,2.0,3,6.43
S0236,8,11,149,281,1.9,25,6.44
S0237,2,11,30,47,1.92,0,6.07
